슬픔,무기력,뭐라도 해야 하는데 아무 의욕이 없어.
슬픔,무기력,기분이 축 쳐져서 아무 말도 하기 싫어.
슬픔,무기력,요즘은 그냥 피곤하다는 생각뿐이야.
슬픔,무기력,그냥 누워서 하루를 보냈어.
슬픔,무기력,일어나야 하는데 몸이 안 따라줘.
슬픔,무기력,오늘은 유난히 기운이 빠진다.
슬픔,무기력,마음이 텅 비어버린 느낌이야.
슬픔,무기력,그냥 아무 일도 안 하고 싶어.
슬픔,무기력,다시 시작할 에너지가 없어.
슬픔,무기력,요즘은 아무 감정도 안 들어.
슬픔,무기력,그냥 하루하루 버티는 중이야.
슬픔,무기력,이유도 없이 너무 지쳐.
슬픔,무기력,기분이 바닥나서 아무것도 하기 싫어.
슬픔,무기력,오늘은 그냥 너무 무기력해.

슬픔,자책,괜히 내가 다 잘못한 것 같아.
슬픔,자책,오늘도 쓸데없는 생각만 했어.
슬픔,자책,나 때문에 일이 이렇게 된 것 같아.
슬픔,자책,내가 왜 그랬는지 모르겠어 진짜.
슬픔,자책,조금만 참았으면 좋았을 텐데 후회돼.
슬픔,자책,그때 그렇게 말 안 했어야 했는데.
슬픔,자책,내가 너무 부족했던 것 같아.
슬픔,자책,계속 내 탓만 하게 돼.
슬픔,자책,나 때문이라는 생각이 자꾸 들어.
슬픔,자책,내가 좀 더 잘했으면 어땠을까 싶어.
슬픔,자책,다 내 책임인 것 같아서 괴로워.
슬픔,자책,그때 그 말을 한 게 계속 마음에 걸려.
슬픔,자책,나 자신이 너무 한심해 보여.
슬픔,자책,자꾸 내 실수만 떠올라.
슬픔,자책,내가 그 사람 상처 준 것 같아 미안해.
슬픔,자책,내가 나를 용서하기가 어렵다.
슬픔,자책,그냥 내가 문제인 것 같아.
슬픔,자책,다른 사람이라면 더 잘했을 텐데.
슬픔,자책,계속 마음속에서 '내가 잘못했어'란 생각만 돌아.
슬픔,자책,그때 조금만 더 신중했으면 좋았을 텐데.
슬픔,자책,왜 그 말을 했는지 지금도 이해가 안 돼.
슬픔,자책,내가 한 행동이 자꾸 떠올라서 괴로워.
슬픔,자책,솔직히 내 실수였어.
슬픔,자책,내가 너무 이기적이었던 것 같아.
슬픔,자책,내가 그 사람 입장이었으면 정말 싫었을 거야.
슬픔,자책,내가 잘못한 게 맞아 인정해.
슬픔,자책,이 모든 게 내 탓 같아.
슬픔,자책,다른 선택을 했으면 좋았을 텐데.
슬픔,자책,그때 조금만 참았으면 이런 일 없었을 거야.
슬픔,자책,내가 너무 쉽게 포기한 것 같아.
슬픔,자책,그 일만 생각하면 아직도 마음이 아파.
슬픔,자책,내가 왜 그렇게 행동했는지 이해가 안 돼.
슬픔,자책,내가 너무 경솔했어.
슬픔,자책,그때 그 말을 안 했어야 했는데.
슬픔,자책,다른 사람들은 잘 넘기는데 나만 그랬어.
슬픔,자책,그냥 내가 부족해서 그래.
슬픔,자책,아무리 생각해도 내가 잘못했어.
슬픔,자책,다 내 탓이라는 생각이 머릿속에서 떠나질 않아.
슬픔,자책,그 일만 생각하면 스스로가 밉다.
슬픔,자책,그때 나만 참았어도 괜찮았을 텐데.
슬픔,자책,내가 나를 실망시킨 기분이야.
슬픔,자책,지금도 그날 생각하면 가슴이 답답해.
슬픔,자책,나 때문에 분위기 망쳤던 게 아직도 미안해.
슬픔,자책,괜히 나서서 일 더 꼬이게 만든 것 같아.
슬픔,자책,내가 더 잘했어야 했는데 후회돼.
슬픔,자책,그때는 몰랐는데 지금 생각하니까 다 내 탓이야.
슬픔,자책,다른 사람은 다 괜찮은데 나만 문제인 것 같아.
슬픔,자책,그 말을 한 내 자신이 싫다.
슬픔,자책,내가 너무 쉽게 상처를 줬어.
슬픔,자책,그때 그냥 조용히 있었으면 됐는데.
슬픔,자책,나 자신을 용서할 수가 없어.
슬픔,자책,내가 진짜 어리석었어.
슬픔,자책,왜 그렇게 급하게 판단했는지 모르겠어.
슬픔,자책,그때의 내가 너무 미워.
슬픔,자책,조금만 더 참았으면 괜찮았을 텐데.
슬픔,자책,내가 너무 성급했어.
슬픔,자책,다 내 실수야 변명할 여지가 없어.
슬픔,자책,그 일만 떠올리면 숨이 막혀.
슬픔,자책,내가 너무 이기적으로 굴었어.
슬픔,자책,내가 그 말을 안 했어야 했는데 아직도 후회돼.
슬픔,자책,그때 조금만 더 생각했으면 이런 일 없었을 텐데.
슬픔,자책,내가 너무 감정적으로 행동했어.
슬픔,자책,솔직히 내가 잘못한 거 맞아.
슬픔,자책,내가 왜 그렇게 행동했는지 아직도 이해가 안 돼.
슬픔,자책,그때 나답지 않게 굴었어.
슬픔,자책,괜히 화냈던 게 마음에 걸려.
슬픔,자책,그냥 내가 문제였어.
슬픔,자책,그 일만 생각하면 한숨이 나온다.
슬픔,자책,내가 너무 쉽게 포기한 것 같아.
슬픔,자책,그때 조금만 더 견뎠으면 좋았을 텐데.
슬픔,자책,내가 진짜 바보 같았어.
슬픔,자책,그날의 내가 너무 후회돼.
슬픔,자책,그 사람한테 미안한 마음이 자꾸 들어.
슬픔,자책,그때 내 말투가 너무 차가웠던 것 같아.
슬픔,자책,지금 생각하면 왜 그렇게 굴었는지 모르겠어.
슬픔,자책,그냥 내가 너무 부족했어.
슬픔,자책,다른 사람은 괜찮은데 나만 후회하고 있어.
슬픔,자책,내가 왜 그런 선택을 했을까 싶어.
슬픔,자책,그때는 몰랐는데 지금 너무 후회돼.
슬픔,자책,나 자신이 밉고 싫어.
슬픔,자책,그 일 이후로 자신감이 완전히 떨어졌어.
슬픔,자책,조금만 더 신중했으면 좋았을 텐데.
슬픔,자책,그냥 다 내 잘못 같아.
슬픔,자책,아직도 그 일이 머릿속을 맴돌아.
슬픔,자책,그날의 내가 너무 미워서 잠이 안 와.
슬픔,자책,괜히 그때 그렇게 말했나 싶어.
슬픔,자책,내가 너무 철없었어.
슬픔,자책,그날 생각하면 아직도 가슴이 답답해.
슬픔,자책,내가 왜 그런 선택을 했는지 모르겠어.
슬픔,자책,그냥 내 자신이 너무 한심해.
슬픔,자책,그때 참았어야 했는데.
슬픔,자책,조금만 더 생각했으면 이런 일 없었을 텐데.
슬픔,자책,그때는 몰랐지만 지금 너무 후회돼.
슬픔,자책,그 일만 생각하면 가슴이 아파.
슬픔,자책,내가 그때 잘못한 게 맞는 것 같아.
슬픔,자책,지금도 내 머릿속을 떠나질 않아.
슬픔,자책,그 일 이후로 스스로가 너무 미워.
슬픔,자책,내가 더 성숙했으면 좋았을 텐데.
슬픔,자책,다 내 탓이라는 생각이 계속 들어.

슬픔,상실,요즘은 뭔가를 잃은 기분이야.
슬픔,상실,아직도 그 사람이 떠난 게 믿기지 않아.
슬픔,상실,자꾸 그때 생각이 나서 힘들어.
슬픔,상실,비어버린 자리가 너무 커.
슬픔,상실,마음 한쪽이 텅 빈 것 같아.
슬픔,상실,그 사람 목소리가 아직도 귀에 맴돌아.
슬픔,상실,함께했던 시간이 계속 떠올라.
슬픔,상실,그때로 다시 돌아가고 싶어.
슬픔,상실,이젠 다시 볼 수 없다는 게 실감나.
슬픔,상실,그 사람 없는 하루가 너무 낯설어.
슬픔,상실,내가 더 잘해줬어야 했는데.
슬픔,상실,이제는 연락할 수도 없다는 게 슬퍼.
슬픔,상실,괜찮은 척하지만 마음은 허전해.
슬픔,상실,그 사람이 없으니까 세상이 조용해진 느낌이야.
슬픔,상실,그때는 몰랐는데 이제서야 소중함을 알아.
슬픔,상실,그리움이 하루에도 몇 번씩 밀려와.
슬픔,상실,사진만 봐도 눈물이 나.
슬픔,상실,이별이 이렇게 오래 아플 줄 몰랐어.
슬픔,상실,그 사람이 내 일상이었는데 이제 없으니까 공허해.
슬픔,상실,그 사람의 자리가 너무 커서 아직도 채워지지 않아.
슬픔,상실,이제는 목소리도 기억이 잘 안 나.
슬픔,상실,그때 마지막 인사를 못 한 게 후회돼.
슬픔,상실,마음 한쪽이 텅 비어버린 느낌이야.
슬픔,상실,그 사람 생각만 하면 눈물이 나.
슬픔,상실,그 사람이 없는 게 아직도 어색해.
슬픔,상실,매일같이 떠오르는데 붙잡을 수가 없어.
슬픔,상실,그 사람의 흔적이 아직도 여기저기 남아있어.
슬픔,상실,지우려고 해도 자꾸 생각나.
슬픔,상실,이별은 익숙해지지가 않아.
슬픔,상실,다시 웃는 법을 잊어버린 것 같아.
슬픔,상실,그때 잡았으면 달라졌을까 싶어.
슬픔,상실,이제는 그리움도 익숙해진 것 같아.
슬픔,상실,그 사람 없는 하루가 이렇게 길 줄 몰랐어.
슬픔,상실,문득 떠오를 때마다 마음이 아파.
슬픔,상실,그때 마지막으로 본 표정이 아직도 생생해.
슬픔,상실,그 사람 생각하면 아직도 잠이 안 와.
슬픔,상실,이제는 내 곁에 없다는 게 믿기지 않아.
슬픔,상실,그 사람이랑 가던 길을 지나칠 때마다 마음이 먹먹해.
슬픔,상실,지금도 습관처럼 연락하려다가 멈춰.
슬픔,상실,그 사람 생각하면 웃음보다 눈물이 먼저 나.
슬픔,상실,함께했던 장소마다 그 사람 흔적이 남아있어.
슬픔,상실,그때의 행복이 이제는 아픔이 됐어.
슬픔,상실,그 사람 이름만 들어도 가슴이 먹먹해.
슬픔,상실,잊으려고 노력해도 안 되더라.
슬픔,상실,그 사람의 말투까지 아직 기억나.
슬픔,상실,내가 그 사람을 너무 쉽게 잃은 것 같아.
슬픔,상실,그때로 다시 돌아갈 수 있다면 얼마나 좋을까.
슬픔,상실,그 사람 없는 세상은 색이 바랜 느낌이야.
슬픔,상실,그 사람이 떠난 이후로 모든 게 달라졌어.
슬픔,상실,아무리 바쁘게 지내도 그리움은 사라지지 않아.
슬픔,상실,그 사람 생각하면 마음이 덜컥 내려앉아.
슬픔,상실,시간이 지나도 그리움은 줄지 않네.
슬픔,상실,그때 한마디라도 더 따뜻하게 말할 걸 그랬어.
슬픔,상실,그 사람 없이 보내는 하루가 이렇게 허전할 줄 몰랐어.
슬픔,상실,그 사람이 없다는 게 아직도 실감이 안 나.
슬픔,상실,그 사람이랑 듣던 노래만 나와도 울컥해.
슬픔,상실,그때 마지막으로 웃던 얼굴이 자꾸 생각나.
슬픔,상실,그 사람 생각만 하면 마음이 무너져.
슬픔,상실,그 사람의 빈자리가 아직도 내 옆에 있는 것 같아.
슬픔,상실,잊었다고 생각했는데 또 생각나더라.
슬픔,상실,그 사람 냄새가 가끔 떠올라.
슬픔,상실,그 사람 없으니까 내가 나 같지 않아.
슬픔,상실,그때 같이 웃던 순간들이 너무 그리워.
슬픔,상실,그 사람 생각하면 그냥 눈물이 흘러.
슬픔,상실,그 사람 없는 하루가 너무 길게 느껴져.
슬픔,상실,그 사람 생각만 해도 가슴이 아파.
슬픔,상실,그 사람한테 하고 싶은 말이 너무 많아.
슬픔,상실,이젠 추억 속에서만 볼 수 있다는 게 슬퍼.
슬픔,상실,그때의 기억이 자꾸 떠올라서 힘들어.
슬픔,상실,그 사람 잊는 게 이렇게 어려울 줄 몰랐어.
슬픔,상실,이젠 그 사람이 꿈에만 나와.
슬픔,상실,그 사람 없이 맞는 하루가 너무 낯설다.
슬픔,상실,그 사람 생각하면 아직도 눈물이 나.
슬픔,상실,그때 마지막 인사라도 제대로 하고 싶었어.
슬픔,상실,그 사람이 보고 싶어서 가끔 멍하게 있어.
슬픔,상실,그 사람 없는 세상이 너무 조용해.
슬픔,상실,그 사람 이름을 부르는 게 아직도 익숙해.
슬픔,상실,잊으려 하면 더 선명해져.
슬픔,상실,그 사람이 없는 게 여전히 믿기지 않아.
슬픔,상실,그 사람 생각만 해도 숨이 막혀.
슬픔,상실,그 사람의 웃음소리가 그립다.
슬픔,상실,이젠 그 사람이랑 나눈 기억밖에 남은 게 없어.
슬픔,상실,그 사람 없으면 하루가 너무 공허해.
슬픔,상실,그 사람 생각하면 시간도 멈춘 것 같아.
슬픔,상실,그 사람이 떠난 후로 세상이 흐릿해졌어.
슬픔,상실,그 사람 없는 하루가 아직도 어색해.
슬픔,상실,그 사람 얘기만 나와도 눈물이 나.
슬픔,상실,그 사람 생각이 불쑥불쑥 올라와서 힘들어.
슬픔,상실,그 사람 없이 웃는 게 미안할 때가 있어.
슬픔,상실,그 사람이랑 같이 있던 기억이 너무 선명해.
슬픔,상실,그 사람 생각하면 마음이 먹먹해져.
슬픔,상실,그 사람 없다는 게 이렇게 큰 일인 줄 몰랐어.
슬픔,상실,그 사람의 빈자리가 아직도 익숙하지 않아.
슬픔,상실,그 사람이 떠난 날이 아직도 생생해.
슬픔,상실,그 사람이 없다는 현실이 너무 아프다.
슬픔,상실,그 사람 생각이 오늘따라 더 진하게 떠올라.
슬픔,상실,그 사람 이름만 들어도 마음이 아려.
슬픔,상실,그때로 다시 돌아가고 싶을 만큼 그리워.
슬픔,상실,그 사람이 그립다는 말밖에 못 하겠어.
슬픔,상실,그 사람 없으면 하루가 너무 조용해.

슬픔,그리움,요즘은 그 사람 생각이 자꾸 나.
슬픔,그리움,괜히 옛날 사진만 계속 보게 돼.
슬픔,그리움,꿈에서라도 한번만 더 보고 싶어.
슬픔,그리움,그 사람 목소리가 너무 그리워.
슬픔,그리움,이젠 다시 볼 수 없다는 게 아직도 믿기지 않아.
슬픔,그리움,강아지랑 같이 산책하던 길을 아직도 지나치지 못하겠어.
슬픔,그리움,부모님 생각나서 오늘 하루 종일 울컥했어.
슬픔,그리움,그때 함께 듣던 노래가 나오면 멍해져.
슬픔,그리움,그 사람이랑 찍은 사진을 아직도 못 지우겠어.
슬픔,그리움,그때의 웃음이 아직도 생생해.
슬픔,그리움,우리 고양이 냄새가 아직도 방 안에 남아 있는 것 같아.
슬픔,그리움,이젠 연락할 수도 없다는 게 너무 슬퍼.
슬픔,그리움,그 사람이랑 걷던 길을 오늘 혼자 걸었어.
슬픔,그리움,엄마가 해주시던 밥 냄새가 문득 떠올랐어.
슬픔,그리움,그 사람 생각만 하면 마음이 아파와.
슬픔,그리움,강아지가 꼬리 흔들던 모습이 아직도 눈에 선해.
슬픔,그리움,그때는 몰랐는데 그 사람 정말 소중했어.
슬픔,그리움,그 사람 웃는 얼굴이 자꾸 떠올라.
슬픔,그리움,시간이 흘러도 그리움은 사라지지 않네.
슬픔,그리움,그 사람 이름만 들어도 눈물이 나.
슬픔,그리움,오늘따라 그 사람 생각이 더 많이 나.
슬픔,그리움,부모님 목소리 듣고 싶은 날이야.
슬픔,그리움,우리 집 강아지 떠난 지 오래됐는데도 아직 보고 싶어.
슬픔,그리움,그 사람한테 미안했던 일들이 계속 떠올라.
슬픔,그리움,그 사람 없는 하루가 너무 조용해.
슬픔,그리움,할머니가 쓰던 향수 냄새가 아직 기억나.
슬픔,그리움,그 사람 생각만 하면 웃음보다 눈물이 먼저 나.
슬픔,그리움,그때 함께 웃던 순간이 너무 그리워.
슬픔,그리움,그 사람 없으니까 세상이 좀 흐릿해 보여.
슬픔,그리움,오늘은 그 사람 꿈이라도 꿨으면 좋겠어.
슬픔,그리움,아빠랑 갔던 바다 생각나서 괜히 눈물이 나더라.
슬픔,그리움,그때의 따뜻한 손길이 아직도 기억나.
슬픔,그리움,그 사람한테 고맙다고 한 번이라도 더 말할 걸 그랬어.
슬픔,그리움,강아지랑 찍은 사진 보면 아직도 울컥해.
슬픔,그리움,그 사람 생각하면 가슴이 먹먹해져.
슬픔,그리움,그때 마지막으로 웃던 얼굴이 떠올라서 잠을 못 잤어.
슬픔,그리움,그 사람 없는 하루는 색이 빠진 것 같아.
슬픔,그리움,이제는 기억 속에서만 볼 수 있다는 게 슬퍼.
슬픔,그리움,할머니가 해주시던 따뜻한 말이 생각나.
슬픔,그리움,그 사람이랑 함께 가던 카페 앞을 지날 때마다 발이 멈춰.
슬픔,그리움,그 사람의 목소리를 또 듣고 싶어.
슬픔,그리움,그 사람 냄새가 가끔 떠올라서 울컥해.
슬픔,그리움,고양이 발소리가 아직도 들리는 것 같아.
슬픔,그리움,그때는 당연했던 순간들이 이제는 추억이야.
슬픔,그리움,부모님 사진 보는데 갑자기 눈물이 났어.
슬픔,그리움,그 사람한테 아직도 고맙다는 말을 못 했어.
슬픔,그리움,그때 그 사람 품이 제일 따뜻했어.
슬픔,그리움,강아지가 떠난 날 이후로 아직도 낯설어.
슬픔,그리움,그 사람 없는 자리가 너무 커.
슬픔,그리움,오늘따라 그 사람 생각이 많이 나서 힘들었어.
슬픔,그리움,그때 같이 보던 영화가 오늘 또 나왔어.
슬픔,그리움,그 사람 없는 집이 이렇게 조용했나 싶어.
슬픔,그리움,부모님 목소리를 다시 듣고 싶어.
슬픔,그리움,그때 웃던 그 표정이 아직도 눈에 선해.
슬픔,그리움,그 사람이랑 가던 길을 지나면 발이 멈춰.
슬픔,그리움,우리 집 강아지 이름만 들어도 눈물이 나.
슬픔,그리움,그 사람 생각하면 하루가 길어져.
슬픔,그리움,그 사람과 마지막 인사를 못 한 게 아직도 마음에 남아.
슬픔,그리움,그 사람이 웃을 때 나는 표정을 아직도 기억해.
슬픔,그리움,이젠 그 사람 사진만 봐도 울컥해.
슬픔,그리움,그때의 행복이 지금은 아픔이 됐어.
슬픔,그리움,부모님 생각나서 편지 하나 써봤어.
슬픔,그리움,그 사람이 보고 싶어서 오늘은 하늘을 올려다봤어.
슬픔,그리움,그 사람 생각하면 눈시울이 자꾸 붓는다.
슬픔,그리움,그 사람이랑 같이 웃던 기억이 그리워.
슬픔,그리움,그때로 돌아갈 수만 있다면 좋겠어.
슬픔,그리움,우리 강아지랑 뛰놀던 공원에 아직도 가끔 가.
슬픔,그리움,그 사람 생각하면 그냥 눈물이 나.
슬픔,그리움,그 사람 없는 자리가 아직도 익숙하지 않아.
슬픔,그리움,이젠 추억밖에 남은 게 없어.
슬픔,그리움,부모님 생각나서 오늘 하루가 길게 느껴졌어.
슬픔,그리움,그 사람 없는 세상이 너무 조용해.
슬픔,그리움,그 사람 얘기만 들어도 마음이 아려.
슬픔,그리움,강아지가 자던 자리 볼 때마다 아직도 허전해.
슬픔,그리움,그 사람한테 아직 못 한 말이 너무 많아.
슬픔,그리움,그 사람 냄새가 가끔 바람에 실려 오는 것 같아.
슬픔,그리움,그 사람한테 미안하다는 말 한마디 못 한 게 후회돼.
슬픔,그리움,그 사람 생각하면서 잠드는 날이 많아.
슬픔,그리움,그 사람과 나눈 기억이 요즘 자주 떠올라.
슬픔,그리움,그 사람 사진 보면 마음이 따뜻해지다가도 아파.
슬픔,그리움,그때 같이 웃던 순간이 너무 생생해.
슬픔,그리움,그 사람 목소리가 듣고 싶어 미치겠어.
슬픔,그리움,그 사람 없는 하루가 이렇게 길 줄 몰랐어.
슬픔,그리움,그 사람 생각하면 시간도 멈춘 것 같아.
슬픔,그리움,그 사람 이름만 들어도 가슴이 먹먹해져.
슬픔,그리움,그 사람 없는 자리가 너무 커서 아직도 채워지지 않아.
슬픔,그리움,그 사람 보고 싶어서 눈물 나더라.
슬픔,그리움,그때 함께 있던 시간들이 그립고 따뜻해.
슬픔,그리움,오늘따라 그 사람 생각이 더 많이 나서 잠이 안 와.
슬픔,그리움,그 사람 없으니까 하루가 너무 길어.
슬픔,그리움,그 사람이랑 같이 있던 그날이 그리워서 힘들어.
슬픔,그리움,그 사람 없는 하루가 여전히 낯설어.
슬픔,그리움,그 사람 생각하면서 오늘 하루를 버텼어.
슬픔,그리움,그때로 돌아가서 한 번만 더 안아주고 싶어.
슬픔,그리움,그 사람이 떠난 지 오래됐는데도 여전히 그리워.
슬픔,그리움,그 사람 없이 웃는 게 아직도 어색해.
슬픔,그리움,그 사람 생각하면 여전히 눈물이 나.
슬픔,그리움,그 사람이 없다는 사실이 아직도 믿기지 않아.
슬픔,그리움,그 사람 생각하면 마음이 덜컥 내려앉아.

슬픔,체념,이젠 그냥 그러려니 하고 살고 있어.
슬픔,체념,기대하지 않으니까 덜 아프더라.
슬픔,체념,이젠 뭐든 놀랍지도 않아.
슬픔,체념,그냥 이렇게 흘러가나 보다 싶어.
슬픔,체념,이젠 바랄 게 없어서 마음이 편하긴 해.
슬픔,체념,그냥 다 그런 거겠지 싶어.
슬픔,체념,애써 바꾸려 해도 안 되더라.
슬픔,체념,이젠 그냥 내려놓기로 했어.
슬픔,체념,포기하니까 오히려 덜 힘들더라.
슬픔,체념,이젠 아무 감정도 안 들어.
슬픔,체념,그냥 받아들이는 게 편해졌어.
슬픔,체념,기대했던 게 바보 같더라.
슬픔,체념,이젠 뭘 해도 달라질 게 없을 것 같아.
슬픔,체념,그냥 흘러가는 대로 두고 있어.
슬픔,체념,이젠 미련조차 없어.
슬픔,체념,바꿀 수 없는 건 그냥 놔주려고.
슬픔,체념,그냥 이렇게 사는 게 내 몫인가 봐.
슬픔,체념,애써 잡으려다 더 아팠어.
슬픔,체념,이젠 더 이상 기대 안 해.
슬픔,체념,그냥 이게 내 현실인가 보다.
슬픔,체념,이젠 놀라지도 않아.
슬픔,체념,그냥 이 상황을 받아들이고 있어.
슬픔,체념,다시 돌아갈 수 없다는 걸 알아.
슬픔,체념,그냥 체념하면 마음이 조금은 편해.
슬픔,체념,애써 노력해봤자 안 되더라.
슬픔,체념,이젠 아무 일도 신경 쓰기 싫어.
슬픔,체념,그냥 이렇게 사는 수밖에 없지 뭐.
슬픔,체념,그 사람도 나도 이제 각자의 길을 가야지.
슬픔,체념,기대가 없으니까 덜 실망해.
슬픔,체념,그냥 오늘도 무표정하게 버티는 중이야.
슬픔,체념,이젠 싸울 힘도 없어.
슬픔,체념,그냥 되는 대로 살고 싶어.
슬픔,체념,다 잊은 줄 알았는데 이제는 그냥 무감각해졌어.
슬픔,체념,어차피 결과는 뻔했잖아.
슬픔,체념,그냥 포기하니까 마음이 조금은 편해졌어.
슬픔,체념,이젠 미련이 남지도 않아.
슬픔,체념,그냥 아무 감정도 안 들어서 무섭다.
슬픔,체념,더는 붙잡지 않으려 해.
슬픔,체념,이젠 바라지도 않아.
슬픔,체념,기대하지 않으니까 편하더라.
슬픔,체념,이제는 그냥 덤덤해졌어.
슬픔,체념,그냥 다 놓고 싶어졌어.
슬픔,체념,변하지 않는 건 이제 인정하려고.
슬픔,체념,그냥 조용히 받아들이고 있어.
슬픔,체념,어쩔 수 없다는 걸 알면서도 씁쓸해.
슬픔,체념,이젠 바람도 없고 기대도 없어.
슬픔,체념,그냥 그렇게 되겠지 뭐.
슬픔,체념,어쩌면 이게 최선일지도 몰라.
슬픔,체념,그냥 더는 애쓰고 싶지 않아.
슬픔,체념,기다리기엔 너무 지쳤어.
슬픔,체념,이젠 뭐든 흘러가게 놔두려고.
슬픔,체념,그냥 아무 기대도 하지 않아.
슬픔,체념,결국 이렇게 되는구나 싶어.
슬픔,체념,이젠 다시 시작할 용기도 없어.
슬픔,체념,그냥 마음이 무덤덤해졌어.
슬픔,체념,포기하니까 이상하게 마음이 조용해.
슬픔,체념,그냥 되는 대로 살아야지 뭐.
슬픔,체념,이젠 운명이라 생각해.
슬픔,체념,애써 바꿔보려 했지만 결국 실패했어.
슬픔,체념,그냥 이젠 그러려니 해.
슬픔,체념,무기력하게 받아들이는 중이야.
슬픔,체념,다시 일어서야겠단 생각조차 안 들어.
슬픔,체념,이젠 아무것도 바라지 않아.
슬픔,체념,이제는 그냥 이렇게 흘러갈 거야.
슬픔,체념,다시 시작해도 똑같을 것 같아.
슬픔,체념,기대했던 게 다 부질없었네.
슬픔,체념,그냥 이제는 아무 느낌도 없어.
